i,Action,Industry,Country,ИНН
NielsenIQ,suspend consulting service but not core business,Industrials,United States,
Nokian Tyres,meaningfully reduce production in Russia,Consumer Discretionary,Finland,4703073810
Nordea Bank,stop processing payments to and from Russia & Belarus,Financials,Finland,7715294714
Norsk Hydro," reduced deliveries and supplies to the contractual minimum for some commitments, and is suspending deliveries and supply in several contracts",Materials,Norway,5103070023
Okta,halt new sales to Russia but continue supporting current customers,Information Technology,United States,7841001446
Oriflame Cosmetics,suspend online sales to end consumers but not others,Consumer Staples,Switzerland,5024055294
Orion,stop exports to Russia,Health Care,Finland,5013007309
Orsted,"end coal and biomass purchases, refuse to pay for gas in roubles",Utilities,Denmark,
Otis Worldwide,exploring options for exit; while no new investments/new contracts but fulfill existing agreements,Industrials,United States,
OTP Bank,wind down corporate lending,Financials,Hungary,7708001614
Paccar,stop driect sales in Russia but continue selling through thrid-parties,Industrials,United States,
Paul Wurth,"stopped new business, closed sites, and scaled back serviceds",Industrials,Luxembourg,3305051630
Pepsi,suspend operations in Russia except essentials,Consumer Staples,United States,7705034202
Phibro Animal Health Corp,curtail some operations (i.e. ethanol) and substantial sales hit,Health Care,United States,
Philip Morris,"explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches",Consumer Staples,United States,4720007247
Pirelli,suspend new investments in Russia and scale back production,Consumer Discretionary,Italy,7704787370
PKN Orlen SA,"stopped maritime oil shipments, diversifying supply",Energy,Poland,
Playtika,temporarily block new downloads games in Russia,Information Technology,Israel,
PPG,scale back majority of operations and suspend new investments in Russia,Materials,United States,7715544379
Rational,suspend deliveries to Russia but retain operations inside Russia,Consumer Discretionary,Germany,7716065844
Rosenbauer,no new business; continue servicing fire engine pumps in Russian JV,Industrials,Austria,7725646490
Royal DSM,stopped all operations in Russia other than basic food/feed/essential health activities,Materials,Netherlands,
Sabre,suspend certain partnerships with Aeroflot,Information Technology,United States,
Saint-Gobain,suspend exports and imports but not local operations,Industrials,France,5011020537
SAP,stop all sales to Russia and shut down cloud operations but some carveouts,Information Technology,Germany,7708238123
SBI,stopped processing transactions of sanctioned Russian entities,Financials,India,7714779755
Schaeffler,stop deliveries to Russia; continue manufacturing in Russia,Industrials,Germany,7714647727
Scopely,suspend marketing and commerce,Communication Services,United States,
Shutterstock,not accept new contributors from Russia; continue current businesses & still offer services to Russia,Communication Services,United States,
SHV,"suspend new investments, new projects, new exports; continue to work with  suppliers and customers in Russia",Energy,Netherlands,1835066998
